line,Intercept,cSFR,clogz,cSFRlogz,Intercept_err,cSFR_err,clogz_err,cSFRlogz_err,sigma
logLOIII_51,6.99,1.11,-0.57,0.25,0.02,0.02,0.03,0.04,0.53
logLNIII_57,6.65,1.15,-0.82,0.26,0.02,0.02,0.03,0.04,0.51
logLOI_63,0.94,-2.00,2.91,4.76,3.33,4.02,0.20,-0.60,1.09
logLOIII_88,7.11,1.06,-0.48,0.26,0.02,0.02,0.03,0.04,0.50
logLNII_122,5.77,0.97,-1.10,0.50,0.01,0.02,0.02,0.03,0.35
logLOI_145,4.60,1.21,-1.80,-1.81,0.64,0.47,1.78,1.69,0.57
logLCII,6.70,0.70,-0.94,0.51,0.02,0.02,0.05,0.03,0.17
logLNII_205,5.63,0.81,-1.25,0.70,0.01,0.02,0.02,0.03,0.31
