# Predictions obtained from DiagISM 
# Date execution time: 2022-06-05 11:22:34 UTC 
# Predicted physical parameter: ISRF [Habing]
# The score of the predictions was: 0.931 
# Model: Eight FIR lines 
id,per_16th,median,per_84th,mean,std
7375,-0.9913805365554812,1.2872153060392393,3.2245169629151738,1.150742984060361,2.142886660170514
7376,-0.7450522446020084,2.3766273864618768,4.689571464303719,2.017247489014581,2.592974979105547
7377,-0.14074172147899855,2.1918449447141333,4.349969293402677,2.092892711953518,2.2159171452883006
7378,-0.7463544847131399,0.7350567879486979,2.3485732708854634,0.7552379026639543,1.745310900569962
7379,-0.8189975054842746,1.8259180183315595,4.091010760318657,1.6884638893551969,2.3351609030105487
7380,-1.2070675825709885,1.5495615186988743,3.8021227272077294,1.3079510484338894,2.477442215337357
7381,-0.6510155354725797,1.8522749272072103,4.043470186709508,1.6926955826765633,2.3528383820483048
7382,-1.2198809029615048,1.796082550319865,4.313956702539574,1.6124542425770865,2.5770841222014895
7383,-1.160052225914417,1.6308108454018313,4.062949494338838,1.476793393405092,2.514846295347903
7384,-1.5046289142505822,1.4737262864220164,3.8796972771526366,1.2547676485968828,2.522072931250267
7385,-0.8552722661662868,1.8881168931882641,4.312830284177524,1.6948905357926443,2.4613074534090083
7386,-0.4905797593661243,2.337195502063549,4.432831003373345,2.0547266014517747,2.3150327602870493
7387,-0.8037027299426001,1.8252179880829988,3.970931822272772,1.6506650199003656,2.3334875032739504
7388,-1.2276336850315992,1.3341014103629139,3.568357352081319,1.218983096527365,2.3266979147741322
7389,-1.0544330355593965,1.5165372492562543,3.80789980916319,1.3566810741930924,2.414721169631854
7390,-1.2350661865552828,1.6311945612346936,4.030278796353182,1.4001020547027432,2.504571455067674
7391,-0.7973027341071454,1.9941848693088131,4.396164131783302,1.8047747979480881,2.485202757561817
7392,-0.8837966716389313,1.6653455481316597,3.8008422907739163,1.492894942096173,2.2859693257335465
7393,-1.4186123487830868,1.6245791896510307,4.032112140783203,1.3614008019612394,2.616952931378175
7394,-0.8431181866864134,1.541647442502686,3.7080320435016807,1.3950498764096086,2.2579883857124234
7395,-0.603887436883515,0.8540455981825266,2.3262943997620598,0.8261286631944349,1.6898972349827979
7396,-0.8842716829369143,0.7439466139472081,2.504861009148624,0.75751231519683,1.879638030432248
7397,-1.109401955467793,1.8641469349870197,4.348106301262203,1.6931833378804764,2.5494494212952876
7398,-0.6933350659439151,0.6990897931987663,2.213466420697947,0.6830030066818099,1.7174197106633506
7399,-0.826902570009669,2.1238600062659696,4.350968724821185,1.8235792557435315,2.466146781020641
7400,-0.7924709726648207,0.8157151407586285,2.3297753560279446,0.736689540949649,1.7599939919894438
