# Predictions obtained from DiagISM 
# Date execution time: 2022-06-05 13:46:35 UTC 
# Predicted physical parameter: ISRF [Habing]
# The score of the predictions was: 0.931 
# Model: Eight FIR lines 
id,per_16th,median,per_84th,mean,std
4554,0.8558832487590669,1.5338175615054772,2.2728968392749653,1.5822221806745382,0.730872748767702
4555,0.8259072729831504,2.03080733082927,3.312716369455632,2.0421833588190923,1.202842133320598
4556,0.298190465913077,0.9708430411639755,1.9352949081947584,1.1075413566912513,0.8390103037754268
4557,0.8604066264364671,1.868986133275501,2.96464527532941,1.9319581331073545,1.0728774909773968
4558,0.7385771141793396,1.9262130688680346,2.992142010527143,1.9084360804925218,1.1210549579957925
4559,0.9333641047584557,1.9360449633893442,2.8584801017964625,1.9317047287325018,0.9913285659483
4560,1.099649099336095,2.240056233802596,3.223427475982925,2.1850072523448243,1.0632207095112294
4561,1.3099620362771824,2.3998448992252155,3.390316557012959,2.3628393414732765,1.044698202344193
4562,0.632842081874557,1.8727132046747723,3.0638845175746487,1.872697300658733,1.1637479733302487
4563,1.0343499880344906,1.8229968384480726,2.6682461723353432,1.8703394204192965,0.8684731386311847
4564,1.367035128583808,2.4082579188534554,3.5573558792907223,2.4588553521835848,1.1008881993296118
4565,0.5919065367028004,1.784712821687299,3.016553225614654,1.8240344689786976,1.196521235754069
4566,0.7340844472512602,1.8954305899632211,3.0404482311982437,1.8970796252695437,1.1155255814136054
4567,1.460612468001824,2.52869795788769,3.4959815728471177,2.4956613545211583,1.0403442529747646
4568,0.8318504210092897,2.1025358814093327,3.2477313478736147,2.0710913411871035,1.1223635149626403
4569,0.8613284565283387,2.111262313367129,3.2523360122195846,2.083607233908123,1.1647807802578136
4570,1.631310662937918,2.3854573990910293,3.0438243653780073,2.344057568380991,0.7814255313600681
4571,0.6320399570247337,1.8423844623471926,3.0089354978658096,1.8511873922357447,1.1614254318097794
4572,0.826927041432271,1.6355057665821646,2.5193362762571074,1.6872563394495004,0.875617645863008
4573,0.7853889846040394,1.8496027263701176,2.893758564084988,1.866805159371755,1.033242332062153
4574,0.6585696963101058,1.493640831829913,2.3603630706901026,1.5416992149631674,0.870280916088286
4575,1.1301581102932783,2.1362450632133685,3.105751117244693,2.1482571462653124,1.0122277308348118
4576,0.8952720721847897,2.1217608862236386,3.211219761465308,2.078984997792159,1.1345905722237564
4577,2.335848982644071,3.2186535201374493,4.0676386795101465,3.192471996306192,0.9037584143089161
4578,0.7558551433318639,1.9028742582010394,2.9582399620496815,1.9031217794879458,1.0887836934138397
4579,0.8300016808270381,1.962281858417314,3.0277592718295745,1.9708298248077298,1.0959691925697426
4580,0.7856837015616003,1.958239289331508,3.234339216035457,1.9955426892654042,1.1991864449325853
4581,1.0893692827001356,1.9286536900040216,2.792400327596666,1.9341744258729572,0.865633265921227
4582,0.7359484720626004,1.9133448196844727,2.9457757578407326,1.8817089913054585,1.0907775034948197
4583,0.4841087526150806,1.3180857717086336,2.2805233810705814,1.4066743931121188,0.9164328081039582
4584,0.9498948295369238,1.9034046224713963,2.788725776256639,1.9041553172975128,0.9506168134855439
4585,0.7754787759173566,1.9710297318545915,3.058610040526429,1.9490206159688632,1.1064620488153025
4586,1.0149617386570389,2.29039807384701,3.5893031063580283,2.305661120573057,1.2054161816967308
4587,0.9170987785819422,2.0883721393038734,3.1967242384021217,2.0671559145401166,1.0964837712942728
4588,1.0118648026312231,2.210540641572929,3.4451342780337226,2.2310228469280102,1.1847171384513844
4589,1.2645436110490058,2.337028339328321,3.4902797051334384,2.357091589779934,1.106512370793612
4590,1.3031833314887042,2.439259165988074,3.611000530080807,2.4401356750526992,1.1086209108898955
4591,0.6885329167602225,1.9299976274968484,3.10793355495803,1.9320573168652873,1.1568431467082991
4592,1.0133665284513829,2.1968888818897074,3.3941947496647793,2.1949760802270855,1.1717874339381964
4593,1.1076084909513884,2.296787061118723,3.475451850180571,2.2751971051677766,1.1389270587147382
4594,0.6399159444782502,1.8049853723614608,3.1054496337971536,1.872954748707913,1.2019106672292872
4595,0.7959097312903268,1.9977966241083265,3.0558502439673028,1.95041349070727,1.0953666999429696
4596,0.7617944169698515,1.9603379822812035,3.1565478726154597,1.968909723985048,1.1599764453487675
4597,1.0642296509759057,2.1628369974782116,3.300759311357703,2.1597379858274963,1.094461701058501
4598,0.6258004318250736,1.4457645597459319,2.318429949691536,1.511269585238888,0.8958286109354373
4599,0.9516432667821197,2.1287274806604435,3.347949731286322,2.1486711680598796,1.147752973408969
4600,1.0708156704661451,2.2088452317394283,3.2993332306661127,2.1921277816705604,1.1042227560510167
4601,0.7606049211707187,1.9906256957919468,3.27540307950163,2.009241388641859,1.2191792656458635
4602,0.7806188953185035,1.910165407650696,2.9549203370603485,1.893025489834873,1.0659729812798506
4603,1.2340528779110302,2.3943961355916246,3.543807703078317,2.384356718806087,1.107334912339081
4604,0.7202109527100244,1.6786367183769153,2.783762856302633,1.7471199652646552,1.0293965284544617
4605,0.8393516109330476,2.0440487766643223,3.1985541459244247,2.034731310187133,1.1305074551548453
4606,0.6954768748454289,1.8864912863720602,3.039268046544534,1.9029875925219508,1.1679420297059926
4607,0.7803757020723928,1.9964500808026755,3.1808893403954013,1.999053286711943,1.1733511232967961
4608,0.7792086250094041,2.006470737462946,3.1662966681162312,1.9862765037597119,1.1564732188680402
4609,0.8121577940062995,1.9800504058305064,3.2397775112174587,2.016876861324618,1.177931702789519
4610,0.8575961196508306,1.9760756346216164,3.1293709028197516,1.9931270207952951,1.13030862022951
4611,0.8417876204597864,1.6308937594918067,2.5536561402344025,1.7019060083163968,0.878929541668935
4612,0.6930224160579396,1.5903459537370663,2.678291598850099,1.6696807847624782,1.005661053733146
4613,0.8944647671579629,2.1313587409066663,3.3973241589830985,2.1417971090930394,1.201612618974339
4614,1.4134230965526284,2.2039587531289966,2.96821523018817,2.2255215095477654,0.8746433599087308
4615,0.7335675501017238,1.7978544640226433,2.903264829599108,1.8300605406158643,1.0890745661008154
4616,0.8681880782921748,1.9115033239002388,3.0005733062699256,1.9280687875550884,1.0557533411757438
4617,0.45246006855209586,1.2659076042272437,2.221195134043688,1.357965576293932,0.9071588960917659
4618,0.7868795409332615,2.0493728269014877,3.2689311907395187,2.064526454537449,1.1792450223866147
4619,0.6386361217669695,1.8484116701521744,3.0200034550571444,1.8625574048755966,1.1636547930930623
